fraud_id,fraud_type,location,date_reported,amount_loss,reported_by,age,channel,is_preventable,fraud_detected_at,risk_score
FRAUD-2997946,Investment Fraud,Ontario,2024-10-14,1326.72,police,41,phone,False,Initiation,0.38
FRAUD-7883733,Identity Fraud,Ontario,2025-01-08,1265.41,victim,30,email,False,Completion,0.29
FRAUD-1801881,Payment Fraud,Ontario,2024-12-14,6437.04,victim,54,email,False,Initiation,0.53
FRAUD-8617359,Online Shopping,Ontario,2024-10-28,5878.4,victim,23,email,False,Initiation,0.73
FRAUD-2653983,Employment Fraud,Ontario,2025-03-28,957.96,employer,18,email,True,Completion,0.46
FRAUD-1580918,Online Shopping,Ontario,2024-07-17,9991.86,police,50,phone,True,Processing,0.79
FRAUD-9843368,Investment Fraud,Ontario,2024-11-11,875.22,police,75,phone,False,Completion,0.89
FRAUD-2122219,Investment Fraud,Ontario,2024-11-04,9064.44,police,32,phone,True,Processing,0.15
FRAUD-5043032,Employment Fraud,Ontario,2024-04-20,7617.86,police,33,email,True,Processing,0.5
FRAUD-9290205,Employment Fraud,Ontario,2024-12-07,2485.53,victim,85,email,False,Completion,0.49
FRAUD-6080128,Employment Fraud,Ontario,2024-04-09,6506.03,police,22,email,True,Initiation,0.39
FRAUD-8013081,Payment Fraud,Ontario,2024-10-07,7615.56,victim,76,phone,True,Initiation,0.64
FRAUD-6007710,Payment Fraud,Ontario,2024-08-05,8366.1,employer,59,phone,False,Completion,0.16
FRAUD-3960505,Other,Ontario,2024-10-14,4515.85,employer,63,phone,False,Completion,0.3
FRAUD-8240506,Other,Ontario,2025-02-03,8905.52,victim,85,phone,False,Processing,0.41
FRAUD-1004618,Identity Fraud,Ontario,2024-12-06,3294.74,police,20,phone,False,Initiation,0.16
FRAUD-7937348,Employment Fraud,Ontario,2024-07-11,7106.12,police,53,in-person,True,Processing,0.31
FRAUD-8523094,Health Fraud,Ontario,2024-11-28,9183.37,employer,77,in-person,True,Initiation,0.83
FRAUD-9283053,Investment Fraud,Ontario,2025-03-04,1891.06,police,74,phone,False,Completion,0.3
FRAUD-5174264,Other,Ontario,2025-01-24,9810.27,police,78,email,False,Initiation,0.27
FRAUD-7534045,Payment Fraud,Ontario,2025-02-15,1382.37,employer,61,phone,True,Initiation,0.36
FRAUD-7356968,Employment Fraud,Ontario,2025-02-21,6334.92,employer,71,email,False,Processing,0.61
FRAUD-5254881,Online Shopping,Ontario,2025-03-02,8633.1,victim,41,email,True,Initiation,0.65
FRAUD-8068828,Payment Fraud,Ontario,2024-09-02,8190.31,police,27,in-person,True,Processing,0.16
FRAUD-9996927,Identity Fraud,Ontario,2025-02-19,4423.53,police,49,in-person,False,Initiation,0.26
FRAUD-2924464,Health Fraud,Ontario,2024-12-25,8146.03,victim,43,in-person,True,Processing,0.54
FRAUD-7275669,Health Fraud,Ontario,2024-04-18,8684.85,employer,24,phone,False,Processing,0.38
FRAUD-9530226,Identity Fraud,Ontario,2024-10-14,5197.96,employer,37,in-person,False,Initiation,0.15
FRAUD-6045490,Payment Fraud,Ontario,2024-04-17,4649.24,police,19,email,True,Initiation,0.1
FRAUD-2537722,Payment Fraud,Ontario,2024-04-28,9474.23,victim,69,in-person,True,Completion,0.69
FRAUD-1967411,Investment Fraud,Ontario,2025-02-07,6279.19,employer,20,phone,False,Processing,0.76
FRAUD-6414339,Investment Fraud,Ontario,2024-05-17,5976.73,victim,61,phone,True,Initiation,0.66
FRAUD-5186459,Employment Fraud,Ontario,2025-01-24,9553.05,victim,32,email,False,Initiation,0.83
FRAUD-5559207,Investment Fraud,Ontario,2024-06-21,9366.81,employer,72,phone,False,Completion,0.17
FRAUD-9417356,Investment Fraud,Ontario,2024-05-10,8736.72,police,19,phone,True,Completion,0.52
FRAUD-5295371,Payment Fraud,Ontario,2024-07-04,961.77,police,48,in-person,False,Processing,0.75
FRAUD-4593757,Identity Fraud,Ontario,2025-02-10,8378.25,employer,51,in-person,True,Completion,0.4
FRAUD-6985615,Other,Ontario,2024-05-02,2168.16,employer,80,in-person,False,Completion,0.61
FRAUD-5518407,Payment Fraud,Ontario,2024-10-21,5397.93,police,40,in-person,False,Completion,0.53
FRAUD-5850318,Payment Fraud,Ontario,2024-11-28,1800.46,police,56,phone,False,Initiation,0.85
FRAUD-2517639,Employment Fraud,Ontario,2025-03-13,8571.5,victim,38,phone,True,Completion,0.22
FRAUD-7253887,Health Fraud,Ontario,2024-10-21,1562.47,police,36,in-person,True,Initiation,0.75
FRAUD-7358636,Payment Fraud,Ontario,2025-01-19,3956.77,employer,40,email,False,Initiation,0.85
FRAUD-9830567,Government-Related,Ontario,2024-04-21,5369.92,victim,43,in-person,True,Processing,0.86
FRAUD-8525816,Investment Fraud,Ontario,2024-12-21,9107.51,police,48,in-person,True,Completion,0.43
FRAUD-9391997,Identity Fraud,Ontario,2025-03-16,2301.66,employer,25,in-person,False,Completion,0.57
FRAUD-1684400,Online Shopping,Ontario,2024-11-08,1403.27,victim,48,in-person,False,Completion,0.81
FRAUD-9112452,Identity Fraud,Ontario,2025-01-01,8156.12,victim,34,in-person,False,Processing,0.82
FRAUD-1608061,Identity Fraud,Ontario,2024-05-05,5065.06,police,64,email,False,Processing,0.65
FRAUD-4008695,Payment Fraud,Ontario,2025-03-11,3792.24,victim,69,phone,True,Initiation,0.39
FRAUD-3107687,Payment Fraud,Ontario,2024-07-22,4650.0,victim,66,email,False,Processing,0.5
FRAUD-2572187,Health Fraud,Ontario,2024-11-15,5823.33,victim,47,email,True,Initiation,0.36
FRAUD-2462649,Identity Fraud,Ontario,2024-10-05,7310.34,victim,22,email,True,Completion,0.45
FRAUD-2430923,Other,Ontario,2025-02-27,3216.66,police,50,email,False,Completion,0.81
FRAUD-6634024,Identity Fraud,Ontario,2025-03-17,8525.47,employer,39,email,False,Completion,0.3
FRAUD-2572481,Payment Fraud,Ontario,2024-08-26,9084.36,police,63,email,True,Completion,0.32
FRAUD-9168591,Investment Fraud,Ontario,2024-05-16,6273.46,employer,35,email,False,Initiation,0.14
FRAUD-6201942,Investment Fraud,Ontario,2024-07-11,9679.97,police,43,email,True,Processing,0.6
FRAUD-7300093,Online Shopping,Ontario,2024-11-25,7889.53,police,33,in-person,True,Processing,0.46
FRAUD-5568614,Online Shopping,Ontario,2024-08-23,2968.76,victim,44,in-person,True,Processing,0.37
FRAUD-1981591,Health Fraud,Ontario,2025-03-21,7686.22,police,76,in-person,False,Processing,0.64
FRAUD-6547739,Other,Ontario,2024-06-02,3259.99,victim,77,phone,False,Initiation,0.31
FRAUD-2964108,Investment Fraud,Ontario,2024-11-18,4422.39,police,45,phone,False,Completion,0.13
FRAUD-9126118,Government-Related,Ontario,2024-12-26,9867.67,employer,30,email,True,Completion,0.74
FRAUD-8873687,Employment Fraud,Ontario,2024-08-29,5958.55,victim,64,phone,False,Processing,0.36
FRAUD-7264348,Government-Related,Ontario,2025-01-10,1510.62,employer,66,in-person,True,Initiation,0.82
FRAUD-1681281,Investment Fraud,Ontario,2024-08-16,3735.56,police,78,in-person,True,Processing,0.7
FRAUD-6073128,Online Shopping,Ontario,2024-08-08,2497.66,employer,76,phone,False,Completion,0.44
FRAUD-4807814,Government-Related,Ontario,2024-04-14,7414.29,employer,37,phone,True,Completion,0.49
FRAUD-6234646,Government-Related,Ontario,2025-03-25,5066.57,police,68,phone,True,Completion,0.82
FRAUD-4893109,Investment Fraud,Ontario,2025-02-14,7017.79,employer,56,in-person,False,Processing,0.9
FRAUD-1067607,Payment Fraud,Ontario,2025-03-17,2501.46,victim,67,email,False,Completion,0.78
FRAUD-7548419,Identity Fraud,Ontario,2024-10-25,8853.46,police,43,in-person,False,Initiation,0.2
FRAUD-2874946,Investment Fraud,Ontario,2025-02-01,5524.34,police,67,in-person,True,Initiation,0.16
FRAUD-8829879,Identity Fraud,Ontario,2024-10-06,6655.95,employer,26,email,True,Initiation,0.7
FRAUD-6748612,Investment Fraud,Ontario,2024-09-20,6266.0,police,18,email,False,Processing,0.54
FRAUD-6402751,Health Fraud,Ontario,2024-09-25,2088.92,employer,55,email,True,Initiation,0.52
FRAUD-3278104,Payment Fraud,Ontario,2024-11-10,9739.81,employer,20,phone,True,Initiation,0.24
FRAUD-3350808,Investment Fraud,Ontario,2024-12-06,1305.24,employer,65,in-person,False,Processing,0.36
FRAUD-1403610,Government-Related,Ontario,2024-07-16,7978.18,victim,53,phone,False,Initiation,0.85
FRAUD-1772006,Payment Fraud,Ontario,2024-07-30,2644.3,victim,81,phone,True,Processing,0.53
FRAUD-4465282,Investment Fraud,Ontario,2024-11-01,8975.84,employer,83,email,True,Initiation,0.84
FRAUD-4332500,Payment Fraud,Ontario,2024-09-26,3224.36,victim,28,phone,False,Initiation,0.59
FRAUD-1820161,Identity Fraud,Ontario,2024-12-29,5614.58,police,71,in-person,True,Processing,0.64
FRAUD-6959461,Payment Fraud,Ontario,2024-09-03,8619.32,police,47,email,False,Completion,0.44
FRAUD-3328624,Online Shopping,Ontario,2024-04-03,7832.96,police,51,phone,True,Processing,0.33
FRAUD-1375619,Investment Fraud,Ontario,2024-12-10,744.33,police,77,phone,True,Completion,0.33
FRAUD-1026819,Other,Ontario,2024-12-14,2981.39,employer,78,phone,False,Initiation,0.1
FRAUD-6730264,Payment Fraud,Ontario,2024-09-15,4700.77,victim,80,phone,False,Initiation,0.87
FRAUD-8874474,Other,Ontario,2025-03-07,8306.06,victim,41,email,False,Initiation,0.29
FRAUD-3189522,Payment Fraud,Ontario,2024-12-16,2733.94,victim,68,email,True,Processing,0.2
FRAUD-3335173,Payment Fraud,Ontario,2025-01-27,2155.9,victim,63,email,False,Processing,0.75
FRAUD-1899687,Other,Ontario,2024-04-14,8033.56,victim,45,phone,True,Initiation,0.52
FRAUD-4603224,Government-Related,Ontario,2025-02-12,5230.17,victim,52,in-person,False,Initiation,0.74
FRAUD-4270579,Investment Fraud,Ontario,2024-06-12,2396.4,victim,49,phone,False,Initiation,0.49
FRAUD-9749420,Health Fraud,Ontario,2024-08-21,8378.37,employer,46,in-person,False,Completion,0.58
FRAUD-5286192,Investment Fraud,Ontario,2024-12-28,4943.66,employer,64,phone,True,Processing,0.23
FRAUD-9095611,Other,Ontario,2024-07-22,8552.65,police,74,phone,False,Processing,0.62
FRAUD-2239275,Online Shopping,Ontario,2024-08-11,9441.21,employer,51,in-person,False,Initiation,0.89
FRAUD-1436466,Investment Fraud,Ontario,2024-11-16,2004.56,victim,59,in-person,False,Processing,0.37
FRAUD-9220554,Online Shopping,Ontario,2025-01-25,4540.45,victim,33,email,False,Initiation,0.9
FRAUD-9585917,Payment Fraud,Ontario,2024-05-07,2038.08,police,82,in-person,False,Initiation,0.42
FRAUD-9991108,Other,Ontario,2024-12-16,5313.1,employer,19,in-person,True,Initiation,0.67
FRAUD-5892643,Payment Fraud,Ontario,2024-08-03,6224.55,victim,78,in-person,True,Initiation,0.26
FRAUD-8705979,Employment Fraud,Ontario,2024-09-24,1443.73,victim,72,email,False,Processing,0.28
FRAUD-2604097,Employment Fraud,Ontario,2024-12-09,3722.82,employer,75,in-person,True,Initiation,0.88
FRAUD-5321539,Payment Fraud,Ontario,2024-06-22,2018.49,victim,57,email,True,Initiation,0.46
FRAUD-1910458,Online Shopping,Ontario,2024-07-22,1611.69,employer,32,phone,False,Initiation,0.69
FRAUD-2698589,Investment Fraud,Ontario,2024-07-11,7949.2,employer,72,phone,False,Completion,0.33
FRAUD-3057250,Online Shopping,Ontario,2025-03-14,5045.36,victim,73,email,False,Completion,0.67
FRAUD-7365315,Investment Fraud,Ontario,2024-12-09,5176.66,police,21,phone,True,Initiation,0.57
FRAUD-7830536,Online Shopping,Ontario,2025-02-09,9505.83,victim,77,in-person,True,Processing,0.22
FRAUD-7266123,Government-Related,Ontario,2025-02-24,4014.81,victim,38,email,False,Initiation,0.79
FRAUD-7471864,Payment Fraud,Ontario,2024-09-06,7350.68,employer,80,in-person,False,Initiation,0.81
FRAUD-7421549,Payment Fraud,Ontario,2024-07-30,2512.84,police,48,email,True,Completion,0.75
FRAUD-5221276,Payment Fraud,Ontario,2024-04-18,1726.97,employer,72,in-person,False,Processing,0.42
FRAUD-3874983,Health Fraud,Ontario,2025-02-22,1579.3,victim,44,in-person,False,Processing,0.41
FRAUD-8213778,Employment Fraud,Ontario,2024-04-08,5409.06,employer,58,phone,True,Initiation,0.89
FRAUD-1707997,Other,Ontario,2024-06-13,8762.79,employer,57,phone,True,Initiation,0.75
FRAUD-5409326,Payment Fraud,Ontario,2025-02-12,5681.46,employer,47,in-person,False,Completion,0.16
FRAUD-7269008,Payment Fraud,Ontario,2024-04-02,8449.83,victim,42,email,False,Completion,0.62
FRAUD-3992913,Payment Fraud,Ontario,2024-06-25,8165.14,police,59,phone,True,Completion,0.76
FRAUD-7123682,Government-Related,Ontario,2024-08-12,8553.27,employer,55,in-person,True,Completion,0.75
FRAUD-3038483,Government-Related,Ontario,2024-07-26,8837.87,victim,32,email,False,Processing,0.62
FRAUD-8217160,Government-Related,Ontario,2024-05-02,2823.16,victim,24,phone,True,Processing,0.45
FRAUD-7824245,Online Shopping,Ontario,2024-07-18,3799.57,victim,52,email,False,Processing,0.78
FRAUD-1761576,Government-Related,Ontario,2024-07-08,755.6,police,60,in-person,False,Initiation,0.83
FRAUD-3057644,Employment Fraud,Ontario,2025-02-06,7824.16,police,26,email,False,Initiation,0.51
FRAUD-7132040,Investment Fraud,Ontario,2024-10-28,8940.92,employer,79,in-person,False,Completion,0.74
FRAUD-2161561,Investment Fraud,Ontario,2024-10-08,6200.81,police,44,in-person,True,Initiation,0.87
FRAUD-2741467,Health Fraud,Ontario,2025-02-17,8713.43,victim,22,email,False,Processing,0.16
FRAUD-8049945,Identity Fraud,Ontario,2024-07-29,9036.97,victim,26,in-person,False,Processing,0.49
FRAUD-6956325,Online Shopping,Ontario,2024-05-21,3097.13,employer,70,email,True,Completion,0.83
FRAUD-4832443,Payment Fraud,Ontario,2024-05-18,3662.38,employer,60,email,True,Processing,0.28
FRAUD-5262707,Payment Fraud,Ontario,2025-03-18,4053.48,employer,59,in-person,True,Completion,0.81
FRAUD-6476695,Investment Fraud,Ontario,2025-03-30,2965.98,employer,77,email,True,Processing,0.87
FRAUD-6194609,Employment Fraud,Ontario,2024-12-17,9842.01,victim,51,phone,False,Processing,0.21
FRAUD-7896334,Investment Fraud,Ontario,2025-01-28,2800.49,victim,37,email,True,Completion,0.57
FRAUD-7338426,Identity Fraud,Ontario,2024-12-11,9504.55,police,36,email,False,Initiation,0.66
FRAUD-6969099,Investment Fraud,Ontario,2024-07-14,3718.81,victim,68,email,False,Initiation,0.68
FRAUD-2201468,Payment Fraud,Ontario,2024-11-15,8398.97,employer,76,in-person,False,Completion,0.66
FRAUD-7099579,Identity Fraud,Ontario,2024-07-04,6653.76,victim,71,in-person,False,Initiation,0.51
FRAUD-2894524,Payment Fraud,Ontario,2024-04-30,3662.07,police,20,email,False,Initiation,0.84
FRAUD-2820210,Health Fraud,Ontario,2024-05-24,5775.39,victim,39,email,True,Initiation,0.83
FRAUD-4393821,Identity Fraud,Ontario,2024-06-05,9302.07,employer,28,in-person,False,Processing,0.16
FRAUD-4868750,Other,Ontario,2025-01-17,7587.3,employer,83,phone,True,Initiation,0.73
FRAUD-9039424,Identity Fraud,Ontario,2024-04-13,6609.13,victim,55,phone,True,Initiation,0.29
FRAUD-4710656,Payment Fraud,Ontario,2025-01-27,1332.57,police,22,email,False,Processing,0.12
FRAUD-7342433,Investment Fraud,Ontario,2024-06-30,3783.99,police,55,in-person,True,Processing,0.77
FRAUD-4246110,Payment Fraud,Ontario,2025-03-08,7291.48,employer,20,email,False,Processing,0.21
FRAUD-5849374,Government-Related,Ontario,2024-09-05,1370.78,employer,66,in-person,True,Processing,0.26
FRAUD-9754042,Online Shopping,Ontario,2024-09-15,3359.07,victim,49,phone,True,Completion,0.89
FRAUD-3293354,Other,Ontario,2024-05-08,7937.72,employer,69,email,True,Initiation,0.51
FRAUD-5514961,Payment Fraud,Ontario,2025-03-25,999.7,employer,81,email,True,Initiation,0.84
FRAUD-2008933,Employment Fraud,Ontario,2024-12-27,9860.73,police,84,phone,True,Completion,0.17
FRAUD-1334301,Other,Ontario,2024-10-01,3934.25,police,26,in-person,True,Processing,0.47
FRAUD-8444392,Payment Fraud,Ontario,2024-12-10,6028.37,police,50,email,False,Processing,0.6
FRAUD-1383927,Online Shopping,Ontario,2025-01-12,7024.28,police,21,email,False,Completion,0.73
FRAUD-2970649,Identity Fraud,Ontario,2024-09-24,3898.49,employer,22,email,False,Processing,0.36
FRAUD-1154425,Identity Fraud,Ontario,2024-11-21,2490.13,employer,65,phone,False,Initiation,0.7
FRAUD-8156697,Online Shopping,Ontario,2024-05-04,940.29,police,35,phone,True,Completion,0.56
FRAUD-9942664,Identity Fraud,Ontario,2024-06-29,2988.25,employer,25,in-person,True,Completion,0.61
FRAUD-7036061,Other,Ontario,2024-08-03,8093.37,employer,74,in-person,False,Completion,0.27
FRAUD-2761545,Government-Related,Ontario,2024-06-03,9458.23,employer,62,email,False,Initiation,0.77
FRAUD-4266627,Payment Fraud,Ontario,2024-10-19,7554.41,employer,44,phone,True,Initiation,0.81
FRAUD-2212185,Identity Fraud,Ontario,2024-05-02,6002.11,police,58,phone,False,Completion,0.52
FRAUD-3901169,Investment Fraud,Ontario,2024-06-15,3909.04,police,46,email,True,Initiation,0.28
FRAUD-4277346,Payment Fraud,Ontario,2024-07-01,587.84,employer,76,email,False,Initiation,0.29
FRAUD-2641115,Employment Fraud,Ontario,2024-08-02,2914.76,victim,33,email,True,Completion,0.88
FRAUD-7164418,Payment Fraud,Ontario,2024-04-01,7678.29,police,32,phone,False,Initiation,0.56
FRAUD-1449505,Payment Fraud,Ontario,2025-02-28,4417.37,victim,40,in-person,True,Initiation,0.57
FRAUD-6587298,Online Shopping,Ontario,2024-06-05,6286.09,victim,66,in-person,False,Initiation,0.25
FRAUD-4276343,Investment Fraud,Ontario,2025-02-06,5634.7,employer,29,in-person,False,Completion,0.8
FRAUD-5015254,Payment Fraud,Ontario,2024-04-13,2856.99,victim,81,phone,False,Completion,0.33
FRAUD-7486127,Payment Fraud,Ontario,2024-11-18,5857.56,police,37,phone,True,Initiation,0.12
FRAUD-9312205,Other,Ontario,2025-02-11,3059.42,employer,60,in-person,True,Initiation,0.28
FRAUD-8610123,Employment Fraud,Ontario,2025-01-11,2749.21,employer,44,phone,False,Completion,0.22
FRAUD-2127484,Identity Fraud,Ontario,2024-08-28,589.69,victim,72,phone,True,Processing,0.79
FRAUD-2531402,Payment Fraud,Ontario,2024-08-21,1363.81,police,58,phone,True,Processing,0.52
FRAUD-9328928,Online Shopping,Ontario,2025-01-18,1006.01,police,46,email,True,Initiation,0.27
FRAUD-7653466,Online Shopping,Ontario,2025-01-04,9727.31,police,62,phone,False,Completion,0.66
FRAUD-8673864,Identity Fraud,Ontario,2024-11-03,4413.8,victim,19,email,False,Processing,0.5
FRAUD-8734272,Identity Fraud,Ontario,2024-10-03,1468.5,victim,44,phone,False,Initiation,0.41
FRAUD-2321284,Identity Fraud,Ontario,2024-11-25,7168.28,victim,77,phone,True,Initiation,0.32
FRAUD-5373475,Payment Fraud,Ontario,2025-01-01,4422.22,victim,69,phone,False,Initiation,0.3
FRAUD-1328000,Payment Fraud,Ontario,2025-03-09,5181.61,victim,41,in-person,False,Completion,0.51
FRAUD-7365668,Identity Fraud,Ontario,2025-01-28,8835.21,employer,37,in-person,False,Completion,0.57
FRAUD-5404687,Employment Fraud,Ontario,2024-09-27,4344.81,employer,37,email,True,Completion,0.26
FRAUD-6633423,Payment Fraud,Ontario,2025-03-13,8354.6,employer,65,phone,False,Completion,0.4
FRAUD-2949496,Payment Fraud,Ontario,2024-11-09,3715.71,police,60,in-person,False,Completion,0.89
FRAUD-3938858,Payment Fraud,Ontario,2025-01-07,5730.19,police,18,phone,True,Processing,0.6
FRAUD-3068919,Online Shopping,Ontario,2025-03-13,2705.41,police,80,email,True,Completion,0.25
FRAUD-6630822,Employment Fraud,Ontario,2024-05-02,3693.37,police,33,in-person,True,Initiation,0.48
