Company_ID,Fraud_Detection_System,Fraud_Detection_Rate,Fraud_Prevention_Rate,Customer_Trust_Score
CMP-715819,Hybrid,0.6,0.61,2.97
CMP-538770,Legacy,0.62,0.31,3.27
CMP-662741,AI-Powered,0.87,0.72,4.2
CMP-490249,Legacy,0.62,0.37,3.05
CMP-712762,AI-Powered,0.83,0.79,4.53
CMP-762031,Hybrid,0.67,0.52,3.54
CMP-341147,AI-Powered,0.88,0.79,4.49
CMP-789586,AI-Powered,0.75,0.78,4.37
CMP-445534,Legacy,0.49,0.45,2.38
CMP-205977,AI-Powered,0.76,0.77,4.64
CMP-928803,Legacy,0.52,0.37,2.63
CMP-504334,AI-Powered,0.92,0.73,4.32
CMP-564276,Hybrid,0.69,0.56,3.37
CMP-461312,Legacy,0.65,0.39,3.01
CMP-662337,Hybrid,0.77,0.57,4.51
CMP-974535,Hybrid,0.61,0.57,3.08
CMP-352024,AI-Powered,0.9,0.76,4.5
CMP-327068,AI-Powered,0.77,0.78,4.48
CMP-573355,AI-Powered,0.82,0.77,4.49
CMP-552314,Hybrid,0.66,0.72,4.06
CMP-834895,Hybrid,0.71,0.61,3.4
CMP-301593,Hybrid,0.5,0.64,4.26
CMP-474163,AI-Powered,0.87,0.76,4.21
CMP-214160,AI-Powered,0.86,0.66,4.36
CMP-145241,Legacy,0.45,0.45,2.94
CMP-897844,Hybrid,0.72,0.5,3.81
CMP-376408,Hybrid,0.68,0.54,4.16
CMP-373077,Hybrid,0.66,0.56,3.97
CMP-465968,AI-Powered,0.83,0.79,4.47
CMP-140714,AI-Powered,0.79,0.8,4.56
CMP-987892,Hybrid,0.67,0.51,3.54
CMP-454282,Hybrid,0.76,0.6,3.32
CMP-652846,AI-Powered,0.77,0.72,3.98
CMP-333349,Legacy,0.58,0.48,2.27
CMP-145147,Legacy,0.6,0.42,2.75
CMP-627707,Hybrid,0.67,0.62,4.28
CMP-956160,Hybrid,0.75,0.53,3.22
CMP-959426,AI-Powered,0.94,0.76,4.73
CMP-309249,AI-Powered,0.78,0.75,4.61
CMP-700409,Hybrid,0.74,0.68,3.72
CMP-457849,Hybrid,0.69,0.48,3.29
CMP-686545,AI-Powered,0.81,0.68,4.78
CMP-522967,Hybrid,0.59,0.42,3.31
CMP-763021,Hybrid,0.62,0.72,4.12
CMP-137877,Legacy,0.52,0.37,3.03
CMP-325769,Hybrid,0.8,0.61,3.39
CMP-332909,Hybrid,0.57,0.54,4.25
CMP-645773,Hybrid,0.73,0.54,3.26
CMP-947367,AI-Powered,0.76,0.72,4.35
CMP-365737,Legacy,0.62,0.3,3.19
CMP-608332,AI-Powered,0.85,0.73,3.99
CMP-189414,AI-Powered,0.87,0.71,4.68
CMP-378574,Legacy,0.71,0.33,2.67
CMP-808680,Hybrid,0.83,0.56,4.17
CMP-115564,Hybrid,0.66,0.55,4.04
CMP-473087,Legacy,0.46,0.42,2.39
CMP-581658,AI-Powered,0.77,0.65,4.58
CMP-552319,AI-Powered,0.8,0.66,4.24
CMP-472486,AI-Powered,0.85,0.77,4.56
CMP-137033,AI-Powered,0.89,0.65,4.18
CMP-776445,AI-Powered,0.8,0.8,4.59
CMP-615611,Hybrid,0.64,0.55,3.71
CMP-354503,Hybrid,0.96,0.61,3.89
CMP-106909,Legacy,0.43,0.48,3.47
CMP-738045,Hybrid,0.64,0.51,2.7
CMP-226107,Legacy,0.55,0.46,2.75
CMP-121939,AI-Powered,0.85,0.72,4.84
CMP-711103,AI-Powered,0.93,0.81,4.66
CMP-735673,Hybrid,0.79,0.6,4.14
CMP-361263,AI-Powered,0.82,0.78,4.69
CMP-652742,Hybrid,0.7,0.63,4.04
CMP-557869,AI-Powered,0.84,0.69,4.78
CMP-714720,AI-Powered,0.82,0.75,4.25
CMP-398750,AI-Powered,0.85,0.69,4.52
CMP-438401,Legacy,0.48,0.34,3.23
CMP-748180,AI-Powered,0.85,0.84,4.31
CMP-545905,Hybrid,0.85,0.57,3.24
CMP-772515,Hybrid,0.65,0.62,3.74
CMP-825652,AI-Powered,0.83,0.79,3.97
CMP-568879,Hybrid,0.73,0.68,3.31
CMP-582601,AI-Powered,0.73,0.77,4.8
CMP-559439,Hybrid,0.81,0.5,3.87
CMP-233689,Hybrid,0.52,0.54,4.18
CMP-229764,Hybrid,0.71,0.56,3.52
CMP-269718,AI-Powered,0.81,0.72,4.46
CMP-266607,Hybrid,0.66,0.65,3.99
CMP-341119,Hybrid,0.83,0.69,3.21
CMP-821608,AI-Powered,0.91,0.84,4.55
CMP-783241,AI-Powered,0.91,0.66,3.98
CMP-522497,Hybrid,0.71,0.7,3.98
CMP-901307,Legacy,0.52,0.2,2.29
CMP-652049,Hybrid,0.62,0.65,4.0
CMP-878206,AI-Powered,0.9,0.75,4.63
CMP-837232,Hybrid,0.66,0.54,4.45
CMP-536941,AI-Powered,0.84,0.83,4.8
CMP-949793,AI-Powered,0.77,0.74,4.84
CMP-403145,AI-Powered,0.93,0.68,4.77
CMP-495463,AI-Powered,0.93,0.78,4.4
CMP-243807,Legacy,0.61,0.3,2.73
CMP-596605,AI-Powered,0.91,0.72,4.33
CMP-896591,Hybrid,0.63,0.68,3.95
CMP-285489,AI-Powered,0.78,0.79,4.11
CMP-958374,Hybrid,0.65,0.51,4.08
CMP-727107,AI-Powered,0.83,0.72,4.83
CMP-260177,Legacy,0.54,0.38,2.69
CMP-960096,Hybrid,0.72,0.59,3.54
CMP-687321,AI-Powered,0.87,0.83,4.43
CMP-200754,Legacy,0.63,0.36,3.21
CMP-590686,Legacy,0.7,0.37,3.11
CMP-253204,Legacy,0.51,0.34,1.87
CMP-615043,AI-Powered,0.8,0.76,4.62
CMP-361554,Hybrid,0.73,0.63,2.95
CMP-747315,Legacy,0.74,0.44,2.81
CMP-384089,AI-Powered,0.79,0.86,4.74
CMP-923958,Legacy,0.68,0.38,2.65
CMP-161368,AI-Powered,0.96,0.84,4.85
CMP-272068,Legacy,0.34,0.34,2.56
CMP-464817,AI-Powered,0.73,0.85,4.32
CMP-675441,AI-Powered,0.78,0.75,4.92
CMP-383895,AI-Powered,0.85,0.71,4.24
CMP-712200,AI-Powered,0.91,0.66,4.38
CMP-709779,AI-Powered,0.82,0.75,4.22
CMP-128484,Legacy,0.59,0.39,3.62
CMP-302123,AI-Powered,0.83,0.81,4.78
CMP-638694,AI-Powered,0.87,0.73,4.13
CMP-739076,Legacy,0.55,0.43,2.66
CMP-403556,AI-Powered,0.78,0.74,4.38
CMP-110159,AI-Powered,0.9,0.77,3.88
CMP-827416,Hybrid,0.83,0.63,3.66
CMP-496769,AI-Powered,0.89,0.69,4.28
CMP-977751,Legacy,0.5,0.5,2.82
CMP-726466,Hybrid,0.66,0.54,4.03
CMP-616108,Hybrid,0.64,0.53,3.09
CMP-322021,Legacy,0.51,0.41,3.94
CMP-447247,AI-Powered,0.8,0.75,4.59
CMP-227646,Hybrid,0.68,0.61,3.93
CMP-475958,AI-Powered,0.93,0.74,4.59
CMP-283914,AI-Powered,0.78,0.81,4.46
CMP-901151,AI-Powered,0.84,0.79,4.0
CMP-418189,Legacy,0.41,0.44,3.27
CMP-215789,Hybrid,0.81,0.57,4.09
CMP-744649,Hybrid,0.65,0.6,3.43
CMP-449052,AI-Powered,0.9,0.69,4.17
CMP-199490,Legacy,0.52,0.44,3.13
CMP-988884,Hybrid,0.59,0.52,3.65
CMP-725152,AI-Powered,0.79,0.72,4.2
CMP-630542,AI-Powered,0.86,0.69,4.45
CMP-349341,Hybrid,0.66,0.55,3.78
CMP-976440,AI-Powered,0.88,0.74,4.58
CMP-814457,AI-Powered,0.86,0.72,4.42
CMP-778182,AI-Powered,0.85,0.83,4.62
CMP-795531,AI-Powered,0.9,0.75,3.94
CMP-320998,AI-Powered,0.77,0.71,4.95
CMP-122171,AI-Powered,0.78,0.76,4.6
CMP-185979,Legacy,0.55,0.38,3.14
CMP-287904,AI-Powered,0.89,0.7,4.88
CMP-600191,AI-Powered,0.89,0.83,4.78
CMP-600407,AI-Powered,0.79,0.74,4.24
CMP-786985,Hybrid,0.76,0.63,3.35
CMP-719939,Hybrid,0.67,0.63,3.93
CMP-517378,AI-Powered,0.76,0.69,4.02
CMP-279552,Hybrid,0.78,0.6,3.72
CMP-760238,Hybrid,0.64,0.55,3.49
CMP-582718,Legacy,0.49,0.42,3.2
CMP-219407,AI-Powered,0.81,0.74,4.23
CMP-222103,AI-Powered,0.86,0.71,4.44
CMP-702964,Hybrid,0.72,0.53,3.95
CMP-822669,AI-Powered,0.77,0.71,4.93
CMP-566029,AI-Powered,0.85,0.83,4.22
CMP-206033,AI-Powered,0.86,0.76,4.35
CMP-645037,Legacy,0.58,0.37,3.01
CMP-931556,AI-Powered,0.83,0.72,4.04
CMP-727274,AI-Powered,0.88,0.8,4.22
CMP-573667,AI-Powered,0.82,0.75,4.58
CMP-743867,Hybrid,0.79,0.55,3.3
CMP-570524,Hybrid,0.82,0.63,3.98
CMP-240889,Hybrid,0.72,0.69,4.27
CMP-138434,Hybrid,0.67,0.59,4.4
CMP-918885,Legacy,0.52,0.44,2.63
CMP-206825,Legacy,0.46,0.5,2.47
CMP-729898,AI-Powered,0.88,0.78,4.54
CMP-309265,Legacy,0.49,0.28,2.85
CMP-180817,Hybrid,0.7,0.53,3.58
CMP-782550,AI-Powered,0.89,0.72,4.55
CMP-220926,AI-Powered,0.88,0.75,4.33
CMP-443315,AI-Powered,0.78,0.73,4.15
CMP-697810,AI-Powered,0.86,0.66,5.0
CMP-382713,Hybrid,0.68,0.54,3.74
CMP-533504,Hybrid,0.69,0.56,4.23
CMP-932885,AI-Powered,0.81,0.78,4.34
CMP-411903,Legacy,0.52,0.44,2.91
CMP-266772,Hybrid,0.69,0.61,3.64
CMP-819408,AI-Powered,0.88,0.84,4.6
CMP-803353,AI-Powered,0.93,0.69,4.4
CMP-530128,Legacy,0.66,0.37,3.59
CMP-943660,Hybrid,0.69,0.51,3.49
CMP-431049,AI-Powered,0.86,0.77,4.74
CMP-339003,AI-Powered,0.89,0.73,4.89
CMP-309093,Hybrid,0.71,0.62,3.59
CMP-571846,AI-Powered,0.78,0.85,4.22
CMP-192591,AI-Powered,0.86,0.72,4.31
CMP-892270,Hybrid,0.63,0.57,4.64
CMP-876803,Hybrid,0.68,0.64,3.87
CMP-193940,Legacy,0.49,0.39,2.69
CMP-377542,AI-Powered,0.85,0.65,4.55
CMP-314601,Hybrid,0.7,0.67,3.41
CMP-454026,Hybrid,0.72,0.48,3.47
CMP-276652,AI-Powered,0.8,0.78,4.31
CMP-721513,AI-Powered,0.85,0.79,4.36
CMP-485968,Hybrid,0.66,0.59,4.12
CMP-524568,Hybrid,0.68,0.67,4.18
CMP-718557,AI-Powered,0.95,0.74,4.44
CMP-233904,Legacy,0.56,0.43,2.13
CMP-939839,AI-Powered,0.87,0.78,3.51
CMP-223916,AI-Powered,0.75,0.8,4.53
CMP-123400,AI-Powered,0.82,0.75,4.5
CMP-370423,Legacy,0.38,0.44,2.84
CMP-850983,AI-Powered,0.83,0.73,4.21
CMP-577682,AI-Powered,0.81,0.81,4.48
CMP-130946,Hybrid,0.8,0.65,4.41
CMP-297409,Hybrid,0.68,0.56,4.26
CMP-433148,Hybrid,0.68,0.66,3.46
CMP-432133,AI-Powered,0.84,0.7,4.39
CMP-132797,AI-Powered,0.86,0.74,4.46
CMP-437586,AI-Powered,0.85,0.75,4.2
CMP-798345,AI-Powered,0.87,0.61,4.75
CMP-796996,AI-Powered,0.85,0.76,4.31
CMP-624920,AI-Powered,0.83,0.77,4.05
CMP-865177,Hybrid,0.79,0.58,3.25
CMP-944755,AI-Powered,0.77,0.84,4.57
CMP-382633,AI-Powered,0.89,0.67,4.08
CMP-620484,Hybrid,0.83,0.65,4.13
CMP-334509,Hybrid,0.72,0.7,3.75
CMP-105303,Hybrid,0.75,0.63,4.52
CMP-638890,Hybrid,0.64,0.52,4.29
CMP-184006,Hybrid,0.73,0.68,4.56
CMP-587454,Legacy,0.53,0.45,3.55
CMP-714934,AI-Powered,0.85,0.71,4.52
CMP-749678,Hybrid,0.79,0.56,4.68
CMP-123797,Hybrid,0.66,0.58,3.28
CMP-934450,AI-Powered,0.8,0.72,4.94
CMP-689479,AI-Powered,0.94,0.79,4.61
CMP-895348,AI-Powered,0.93,0.84,5.0
CMP-304058,AI-Powered,0.88,0.65,4.7
CMP-342040,Legacy,0.48,0.35,3.48
CMP-930046,Hybrid,0.8,0.64,3.44
CMP-456210,AI-Powered,0.9,0.7,4.9
CMP-889673,Hybrid,0.67,0.64,2.99
CMP-197351,AI-Powered,0.88,0.83,4.28
CMP-982674,Legacy,0.36,0.4,3.07
CMP-709654,AI-Powered,0.96,0.77,4.64
CMP-524856,Legacy,0.62,0.46,2.74
CMP-630715,AI-Powered,0.81,0.73,5.0
CMP-198048,Hybrid,0.7,0.59,3.77
CMP-920517,AI-Powered,0.82,0.75,4.62
CMP-628810,AI-Powered,0.84,0.69,4.51
CMP-579337,AI-Powered,0.75,0.75,4.74
CMP-978788,Legacy,0.56,0.32,3.64
CMP-406121,AI-Powered,0.87,0.78,5.0
CMP-500073,Hybrid,0.7,0.7,4.33
CMP-481627,AI-Powered,0.87,0.69,4.54
CMP-326775,Hybrid,0.76,0.66,4.32
CMP-479518,AI-Powered,0.95,0.79,4.23
CMP-812376,Legacy,0.56,0.33,3.32
CMP-986222,Hybrid,0.77,0.58,3.49
CMP-959916,Legacy,0.57,0.45,3.65
CMP-965725,Legacy,0.62,0.33,3.01
CMP-834257,Hybrid,0.66,0.62,3.14
CMP-895747,AI-Powered,0.92,0.74,4.59
CMP-483175,AI-Powered,0.86,0.77,4.36
CMP-197446,AI-Powered,0.91,0.7,4.61
CMP-682561,AI-Powered,0.86,0.71,4.16
CMP-459157,AI-Powered,0.84,0.74,4.22
CMP-938091,Hybrid,0.61,0.56,3.51
CMP-878901,AI-Powered,0.93,0.77,4.78
CMP-858025,Legacy,0.5,0.38,2.43
CMP-774520,Hybrid,0.72,0.6,4.09
CMP-194489,AI-Powered,0.8,0.67,3.81
CMP-174866,Legacy,0.64,0.48,1.74
CMP-698867,AI-Powered,0.82,0.7,4.88
CMP-613301,Hybrid,0.7,0.56,3.55
CMP-525995,AI-Powered,0.8,0.67,4.75
CMP-985580,AI-Powered,0.87,0.79,4.68
CMP-955898,Hybrid,0.78,0.61,2.79
CMP-966683,AI-Powered,0.76,0.77,4.35
CMP-337818,AI-Powered,0.82,0.78,4.3
CMP-641881,Hybrid,0.77,0.55,4.17
CMP-684436,Legacy,0.55,0.35,2.28
CMP-946935,Hybrid,0.59,0.61,3.43
CMP-958194,AI-Powered,0.9,0.71,4.07
CMP-724214,AI-Powered,0.84,0.77,4.91
CMP-812893,AI-Powered,0.93,0.71,4.23
CMP-276268,AI-Powered,0.81,0.83,4.47
CMP-614439,AI-Powered,0.87,0.68,4.66
CMP-327093,Legacy,0.51,0.47,3.53
CMP-386916,Hybrid,0.64,0.6,3.85
CMP-905882,AI-Powered,0.84,0.69,4.87
CMP-605859,AI-Powered,0.87,0.84,4.76
CMP-382337,Hybrid,0.57,0.58,3.71
CMP-489977,AI-Powered,0.83,0.77,5.0
CMP-422013,Hybrid,0.75,0.52,3.96
CMP-346345,AI-Powered,0.8,0.79,4.71
CMP-853197,Legacy,0.51,0.34,2.37
CMP-273305,AI-Powered,0.88,0.74,4.13
CMP-921337,AI-Powered,0.79,0.71,4.81
CMP-896512,AI-Powered,0.87,0.77,4.03
CMP-288223,Hybrid,0.64,0.52,3.38
CMP-561026,AI-Powered,0.87,0.76,4.41
CMP-682540,AI-Powered,0.82,0.73,4.55
CMP-887128,Legacy,0.66,0.41,3.07
CMP-955774,AI-Powered,0.91,0.68,4.2
CMP-867028,Legacy,0.63,0.42,1.8
CMP-415836,Hybrid,0.68,0.49,4.06
CMP-264625,Legacy,0.49,0.45,3.22
CMP-766205,Hybrid,0.64,0.58,3.78
CMP-731759,AI-Powered,0.87,0.76,4.54
CMP-960229,AI-Powered,0.78,0.72,4.58
CMP-730696,AI-Powered,0.81,0.76,4.2
CMP-307993,AI-Powered,0.81,0.8,4.66
CMP-986728,Legacy,0.62,0.41,2.47
CMP-750881,AI-Powered,0.91,0.74,4.4
CMP-479427,AI-Powered,0.81,0.81,4.9
CMP-713222,Legacy,0.55,0.27,2.85
CMP-511721,AI-Powered,0.8,0.83,5.0
CMP-517775,AI-Powered,0.81,0.7,4.15
CMP-685938,AI-Powered,0.82,0.76,4.69
CMP-989156,Legacy,0.53,0.28,2.71
CMP-883928,AI-Powered,0.78,0.8,4.55
CMP-541805,AI-Powered,0.87,0.77,4.55
CMP-965205,AI-Powered,0.81,0.76,4.33
CMP-482416,AI-Powered,0.84,0.76,4.8
CMP-585827,AI-Powered,0.82,0.78,4.05
CMP-123245,Legacy,0.63,0.36,2.85
CMP-602940,AI-Powered,0.83,0.89,4.91
CMP-904650,Hybrid,0.65,0.54,3.88
CMP-707008,Hybrid,0.66,0.55,3.33
CMP-544489,AI-Powered,0.84,0.68,4.36
CMP-750219,Legacy,0.68,0.4,2.8
CMP-228088,AI-Powered,0.88,0.78,4.72
CMP-309265,Legacy,0.4,0.42,2.67
CMP-253961,Legacy,0.51,0.29,3.38
CMP-803261,AI-Powered,0.87,0.77,4.2
CMP-743769,AI-Powered,0.73,0.66,4.64
CMP-955292,Hybrid,0.74,0.5,3.88
CMP-856398,AI-Powered,0.83,0.72,4.36
CMP-681174,Hybrid,0.72,0.65,4.03
CMP-566393,Hybrid,0.67,0.64,4.21
CMP-777270,AI-Powered,0.84,0.76,4.03
CMP-965020,AI-Powered,0.93,0.74,4.32
CMP-966157,AI-Powered,0.83,0.79,4.22
CMP-463648,Legacy,0.52,0.49,3.6
CMP-855958,Hybrid,0.73,0.55,3.99
CMP-695888,Hybrid,0.72,0.52,4.24
CMP-471334,Hybrid,0.61,0.68,3.6
CMP-947207,Hybrid,0.72,0.63,3.7
CMP-660574,Hybrid,0.73,0.52,3.77
CMP-792067,Hybrid,0.7,0.56,4.23
CMP-219082,Hybrid,0.62,0.59,3.93
CMP-624286,Hybrid,0.71,0.55,3.74
CMP-420845,AI-Powered,0.86,0.79,4.29
CMP-932787,AI-Powered,0.91,0.78,5.0
CMP-213763,Legacy,0.61,0.44,2.35
CMP-117763,Hybrid,0.75,0.62,3.62
CMP-224002,AI-Powered,0.74,0.67,4.47
CMP-605307,Legacy,0.53,0.39,2.53
CMP-870112,AI-Powered,0.95,0.84,4.56
CMP-921723,Legacy,0.54,0.36,2.32
CMP-852473,Hybrid,0.79,0.58,3.68
CMP-948234,Legacy,0.58,0.24,1.51
CMP-348206,Hybrid,0.74,0.61,4.01
CMP-627726,Legacy,0.35,0.39,3.04
CMP-273911,Hybrid,0.77,0.57,3.98
CMP-641387,Hybrid,0.71,0.59,3.45
CMP-770253,Legacy,0.57,0.4,2.37
CMP-773079,Hybrid,0.63,0.67,4.53
CMP-825831,Hybrid,0.71,0.57,3.58
CMP-945776,Hybrid,0.59,0.59,3.79
CMP-317508,Legacy,0.64,0.45,2.77
CMP-491986,AI-Powered,0.75,0.78,4.49
CMP-991296,AI-Powered,0.79,0.73,4.72
CMP-943298,Hybrid,0.65,0.5,3.67
CMP-119947,AI-Powered,0.93,0.76,4.67
CMP-598623,AI-Powered,0.94,0.72,4.2
CMP-517486,Hybrid,0.68,0.52,3.87
CMP-571561,Hybrid,0.61,0.75,3.5
CMP-119770,AI-Powered,0.87,0.78,4.17
CMP-141017,Hybrid,0.68,0.63,3.55
CMP-960759,Hybrid,0.78,0.69,3.78
CMP-830517,AI-Powered,0.78,0.75,4.37
CMP-592602,AI-Powered,0.8,0.78,4.53
CMP-830795,AI-Powered,0.93,0.72,4.79
CMP-640318,AI-Powered,0.89,0.79,4.05
CMP-414093,AI-Powered,0.89,0.69,4.1
CMP-866061,Legacy,0.48,0.36,3.22
CMP-520940,AI-Powered,0.89,0.82,4.37
CMP-328491,AI-Powered,0.83,0.73,4.71
CMP-635027,AI-Powered,0.84,0.76,4.24
CMP-151245,AI-Powered,0.95,0.81,4.44
CMP-416301,Legacy,0.54,0.46,2.75
CMP-172708,Hybrid,0.82,0.66,4.19
CMP-793389,AI-Powered,0.78,0.65,4.55
CMP-185572,Hybrid,0.72,0.64,3.45
CMP-421114,Hybrid,0.67,0.53,4.35
CMP-635890,Hybrid,0.79,0.5,3.7
CMP-466502,AI-Powered,0.79,0.82,4.65
CMP-721940,Hybrid,0.63,0.59,3.39
CMP-449011,Legacy,0.35,0.3,4.48
CMP-673681,Hybrid,0.74,0.64,4.1
CMP-285356,AI-Powered,0.89,0.72,4.76
CMP-331544,AI-Powered,0.82,0.85,4.76
CMP-914594,AI-Powered,0.88,0.83,4.31
CMP-484861,AI-Powered,0.85,0.81,4.15
CMP-241774,AI-Powered,0.86,0.67,4.7
CMP-209916,Hybrid,0.63,0.53,3.65
CMP-647792,AI-Powered,0.86,0.81,4.5
CMP-458399,Hybrid,0.67,0.53,4.04
CMP-644256,Hybrid,0.72,0.57,3.4
CMP-737324,Hybrid,0.73,0.63,3.48
CMP-629651,Legacy,0.5,0.38,2.68
CMP-755079,Legacy,0.57,0.35,3.28
CMP-236743,AI-Powered,1.0,0.78,3.9
CMP-653796,AI-Powered,0.87,0.68,4.56
CMP-397755,Hybrid,0.78,0.66,4.25
CMP-265360,Hybrid,0.75,0.52,3.86
CMP-838906,Hybrid,0.74,0.58,3.5
CMP-304960,Legacy,0.52,0.29,3.0
CMP-566567,AI-Powered,0.86,0.76,4.48
CMP-680427,AI-Powered,0.81,0.63,4.25
CMP-132674,AI-Powered,0.85,0.71,4.35
CMP-993135,Hybrid,0.77,0.58,4.13
CMP-603843,Legacy,0.53,0.33,2.49
CMP-711657,Hybrid,0.6,0.53,3.7
CMP-721803,AI-Powered,0.93,0.75,4.67
CMP-930590,Legacy,0.57,0.39,2.31
CMP-543768,AI-Powered,0.82,0.76,4.76
CMP-829547,Hybrid,0.68,0.54,4.05
CMP-481871,Hybrid,0.78,0.6,3.55
CMP-280607,AI-Powered,0.78,0.76,4.4
CMP-212474,AI-Powered,0.85,0.67,4.53
CMP-306888,AI-Powered,0.83,0.77,5.0
CMP-228251,Legacy,0.54,0.42,2.48
CMP-843142,AI-Powered,0.82,0.72,4.72
CMP-542096,Legacy,0.52,0.45,2.78
CMP-324582,AI-Powered,0.85,0.69,4.95
CMP-951231,AI-Powered,0.96,0.72,4.46
CMP-707127,Hybrid,0.67,0.57,4.03
CMP-291657,AI-Powered,0.75,0.77,4.64
CMP-353300,AI-Powered,0.86,0.69,4.72
CMP-764693,Hybrid,0.71,0.63,3.38
CMP-818677,Legacy,0.5,0.32,1.37
CMP-356624,AI-Powered,0.84,0.83,4.74
CMP-428185,AI-Powered,0.79,0.73,4.54
CMP-668996,Legacy,0.5,0.43,2.73
CMP-245895,AI-Powered,0.83,0.76,4.67
CMP-146526,Hybrid,0.79,0.43,3.72
CMP-975393,AI-Powered,0.8,0.69,4.81
CMP-613764,Legacy,0.65,0.47,3.46
CMP-341117,AI-Powered,0.86,0.79,4.54
CMP-526586,AI-Powered,0.95,0.79,4.88
CMP-770014,Legacy,0.75,0.34,1.98
CMP-416248,Legacy,0.48,0.46,3.18
CMP-359860,Legacy,0.57,0.36,3.23
CMP-826257,Legacy,0.5,0.46,3.07
CMP-342644,AI-Powered,0.84,0.77,4.06
CMP-332843,Hybrid,0.71,0.63,4.09
CMP-252398,Hybrid,0.72,0.5,4.23
CMP-357156,AI-Powered,0.79,0.83,3.98
CMP-724301,AI-Powered,0.83,0.78,4.36
CMP-821256,AI-Powered,0.83,0.77,4.7
CMP-929086,AI-Powered,0.81,0.82,4.37
CMP-434759,AI-Powered,0.86,0.76,4.69
CMP-777318,Hybrid,0.66,0.61,3.66
CMP-973608,Hybrid,0.7,0.6,3.91
CMP-669211,Legacy,0.53,0.37,3.1
CMP-293428,Hybrid,0.64,0.59,3.79
CMP-729036,Hybrid,0.79,0.56,3.73
CMP-862570,Legacy,0.54,0.38,3.26
CMP-525514,Legacy,0.65,0.36,2.92
CMP-616812,AI-Powered,0.86,0.81,5.0
CMP-964483,AI-Powered,0.83,0.81,4.06
CMP-318009,AI-Powered,0.92,0.66,4.5
CMP-149391,Legacy,0.56,0.49,2.5
CMP-816837,AI-Powered,0.84,0.76,3.74
CMP-288677,Hybrid,0.62,0.63,3.79
CMP-383809,Legacy,0.46,0.39,3.7
CMP-642097,Hybrid,0.75,0.54,3.38
CMP-523726,AI-Powered,0.89,0.73,4.25
CMP-123598,Hybrid,0.74,0.58,4.26
CMP-283400,Legacy,0.51,0.45,2.92
CMP-317741,Hybrid,0.79,0.71,4.19
CMP-919987,AI-Powered,0.84,0.78,4.0
CMP-668455,AI-Powered,0.82,0.76,4.55
CMP-901238,Hybrid,0.67,0.6,3.57
CMP-358311,Hybrid,0.64,0.65,3.61
CMP-343110,AI-Powered,0.84,0.86,4.43
CMP-703820,AI-Powered,0.77,0.75,4.18
CMP-114449,Hybrid,0.65,0.63,3.52
CMP-574705,Hybrid,0.72,0.55,3.43
CMP-320094,AI-Powered,0.87,0.72,4.23
CMP-586337,Hybrid,0.58,0.63,3.53
CMP-778977,Hybrid,0.71,0.52,3.81
CMP-822956,AI-Powered,0.98,0.76,4.69
CMP-433067,AI-Powered,0.88,0.73,4.65
CMP-253054,Hybrid,0.72,0.69,4.33
CMP-145918,Hybrid,0.78,0.54,3.36
CMP-634393,Hybrid,0.69,0.47,3.52
CMP-335213,Hybrid,0.8,0.64,3.17
CMP-754934,Hybrid,0.69,0.63,4.78
CMP-448588,Hybrid,0.74,0.58,3.0
CMP-593912,AI-Powered,0.93,0.77,4.69
CMP-615345,AI-Powered,0.77,0.77,4.14
